RPTID	OPID	NAME	ACCITY	ACCOUNTY	ACSTATE	ACZIP	MPOST	SURVY	CLASS	SHORE	OFFAREA	BNUMB	OFFST	OCS	IFED	ITYPE	RUPLN	FAT	INJ	PRPTY	OPJUD	STHH	STMN	TELRT	INPRS	MXPRS	MPEST	TEST	DTHH	IDATE	CAUSE	PRTLK	PRTFL	PRTFO	MLKD	MLKDO	PRTSY	PRTSO	PRTYR	NMDIA	THK	SPEC	SMYS	SEAM	VALVE	MANU	MANYR	LOCLK	LOCLO	TELRN	TELID	DOR	LOC	ADESC	DESCO	CAUCR	CAUCO	COAT	PROT	CPYR	CAULK	DMGO	NOTIF	NOTDT	MARK	MRKTP	STAT	CAULC	CAULO	CTEST	TESTD	MED	MEDO	TMPS	LKPS	PNAME	PHONE	NARRATIVE
19840869	456	AMOCO GAS CO	 	CHAMBERS	TX	77590	M.P. 431.5	1657+	1	No	 	      	  	Null	No	LEAK	0	0	0	22000	Null	2	0	19840628	480	788	BY TEST	1180	930	19840628	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1952	0	0.25	A.P.I. 5LX42	42000	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	Yes	19840626	Yes	PERMANENT MARKERS	Null		 	Null			 			 	 	"ON JUNE 26, THE DRAGLINE THAT PUNCTURED OUR PIPELINE WAS DISCOVERED BY OUR AIR PATROL.  HIS FOREMAN WAS NOTIFIED BY AMOCO GAS.  IMMEDIATELY, HE WENT TO LOCATION AND TOLD HIS DRAGLINE OPERATOR NOT TO DIG OVER PIPELINE.  THE NEXT DAY, AMOCO GAS HAD AN INSPECTOR WITH THE DRAGLINE AND LEFT 10' PLUG TO BE DUG OUT LATER BY HAND OR A BACKHOE.  THE NEXT DAY (JUNE 28), THE OPERATOR TRIED TO DIG WITH THE DRAGLINE AND HIT OUR PIPELINE PUNCTURING IT.  AMOCO GAS DID NOT RECEIVE PRIOR NOTIFICATION OF THE WORK FOR JUNE 28."
19840870	603	ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO)	 	UPSHUR	TX	75683	6.2	327+35	1	No	 	      	  	Null	No	RUPTURE	6	0	0	0	Yes	1	25	19840629	885	1000	BY CFR 192.619(a)(3)	0	2200	19840629	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1947	0	0.25	 	0	 	 	 	0	ABOVE GROUND	 	 			EXTERNALLY	GENERAL CORROSION	 	GALVANIC	 	COATED	Yes	1950	NO DATA	 	Null		Null	 	Null		 	Null			 			 	 	LINE BLEW OUT IN BANK OF CREEK.
19840888	13769	NORTHERN PLAINS NATURAL GAS COMPANY	HEBRON	MERCER	ND	58638	.00	0+00	1	No	 	      	  	Null	No	LEAK	0	1	2	230000	Null	0	20	19840719	790	1440	BY TEST	2880	1325	19840719	OTHER	GATHERING SYSTEM	OTHER	 	STEEL	 	REGULATOR/METERING SYSTEM	 	1983	0	0	 	0	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null		 	Null			 			"CLARE PATTERSON, MGR. TECHNICAL"	 	"ON THE DAY OF THE INCIDENT, OPERATOR PERSONNEL WERE IN THE PROCESS OF PERFORMING SEVERAL TASKS IN ORDER TO PREPARE THIS NEW METER STATION, OWNED BY GREAT PLAINS COAL GASIFICATION ASSOCIATES, FOR ACCEPTING THE FIRST DELIVERIES OF SYNTHETIC GAS FROM THE PLANT DURING AUGUST, 1984.  FIVE EMPLOYEES WERE PREPARING TO LAY CONCRETE FOR AN AIR COMPRESSOR IN THE SOUTH END OF ONE OF THE BUILDINGS ON SITE, THE ORIFICE METER BUILDING.  THREE 10-INCH METER RUNS ARE LOCATED IN THE ORIFICE METER BUILDING.  THERE ARE ALSO TWO GAS CHROMATOGRAPHS IN THIS BUILDING.  AN ADDITIONAL EMPLOYEE WAS ON SITE, WHO WAS RESPONSIBLE FOR OPERATING AND MAINTAINING THE MECHANICAL, ELECTRONIC AND MEASUREMENT EQUIPMENT AT THIS STATION.  THIS EMPLOYEE WAS DOING WORK IN THE ORIFICE METER BUILDING, PRESUMABLY ON THE CHROMATOGRAPHS, AND IN THE INSTRUMENTATION BUILDING, WHICH IS LOCATED ABOUT 15 FEET DIRECTLY NORTH OF THE ORIFICE METER BUILDING.  THIS EMPLOYEE'S PRECISE ACTIONS ON THE SITE ARE UNKNOWN SINCE HE DIED IN THE EXPLOSION AND FIRE.  WITNESSES HAVE INDICATED THAT THE ORIFICE FITTING IN THE MIDDLE 10-INCH METER RUN WAS OPEN AND THE ORIFICE PLATE HOLDER WAS IN AN EXTENDED POSITION BEFORE THE INCIDENT.  THE REASON THAT THIS FITTING WAS OPEN AND HOLDER EXTENDED IS UNKNOWN.  THE MANUAL PLUG VALVEWHICH SEPARATES THE UPPER AND LOWER CHAMBERS OF THIS ORIFICE FITTING WAS FOUND IN A HALF-OPEN POSITION WHEN VIEWED AFTER THE INCIDENT. IMMEDIATELY PRIOR TO THEINCIDENT, THE DECEASED EMPLOYEE ASKED FOUR EMPLOYEES WHO WERE ON SITE AT THE TIME TO LEAVE THE ORIFACE METER BUILDING BECAUSE HE WAS GOING TO DO SOME WORK THATENTAILED NOISE. THE DECEASED EMPLOYEE THEN WENT INTO THE INSTRUMENTATION BUILDING AND IT IS THEORIZED THAT HE PROCEEDED TO OPERATE THE STATION CONTROLS. THE VALVE ON THE NORTHERN MOST METER RUN OPENED AND THE VALVE ON THE MIDDLE METER RUN MOVED TPA HAL-OPEN POSITION ALLOWING GAS TO ENTER THAT METER RUN AND THEN TO ESCAPE THROUGH THE OPEN ORIFICE FITTING WHERE THE ORIFICE PLATE HOLDER WAS EXTENDED. THE SOURCE OF IGNITION IS UNKNOWN BUT ACCORDING TO WITNESSES, WITHIN SECONDS OF THE GAS STARTING TO ESCAPE, THERE WAS AN EXPLOSION AND FIRE. THE BODY OF THE EMPLOYEE KILLED IN THE EXPLOSION AND FIRE WAS FOUND IN THE INSTRUMENTATION BUILDING. THE FOUR OTHER EMPLOYEES ON SITE AT THE TIME WERE BURNED BEFORE THEY LEFT THE SITE. ANOTHER EMPLOYEE ARRIVED ON SITE SHORTLY AFTER THE INCIDENT AND PROCEEDED TO SHUT OFF THE SOURCE OF GAS WHICH WAS FEEDING THE FIRE BY CLOSING THE APPROPRIATE VALVES. THIS EMPLOYEE SUSTAINED BURNS WHILE CLOSING THE VALVES. THE HEBRON, NORTH DAKOTA FIRE DEPARTMENT EXTINGUISHED THE SECONDARY FIRES IN THE INSTRUMENT BUILDING AND IN TWO VEHICLES PARKED ADJACENT TO THE INSTRUMENT BUILDING."
19840890	18516	SOUTHERN NATURAL GAS CO	 	CLAYTON	GA	30228	18.264	964+34	3	No	 	      	  	Null	No	LEAK	0	0	0	18607	Yes	2	5	19840713	435	605	BY TEST	848	1410	19840713	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1967	12	0.25	API 5 LX	42000	 	 	AMERICAN STEEL	1966	UNDER GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	No		No	 	Yes		 	Null			 			"C.S. FARRELL, SUPV. PIPELINE CO"	 	"CONTRACTOR CLEARING LOT FOR RESIDENTIAL CONSTRUCTION PUNCTURED LINE WITH FRONT END LOADER WHILE DIGGING HOLE TO BURY TRASH AT REAR OF LOT.DEPTH OF PIPELINE - 43"""
19840891	5304	FLORIDA GAS TRANSMISSION CO	CORAL GABLES	DADE	FL	     	2.0	108 04	3	No	 	      	FL	Null	No	LEAK	0	0	0	1500	Yes	1	0	19840716	650	975	BY TEST	975	500	19840715	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	FITTING	"90 DEGREES, 4"""	STEEL	 	PIPELINE	 	1961	4	0.24	STANDARD WEIGHT	35000	 	 	 	1961	ABOVE GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	Null		Null	 	Null		 	Null			 			"JIMMY D. HARP, ASST. CHIEF ENGI"	 	"SOMEONE SHOT A HOLE (APPROX. 5/16"") IN 90 DEGREE ELL FITTING IN 4"" PIPELINE WHERE IT IS EXPOSED TO CROSS A POWER PLANT DRAIN CANAL.  POLICE ARE INVESTIGATING.OUTSIDE PARTY SHOT HOLE IN 4"" ELBOW WITH HIGH-POWERED RIFLE (APPEARS TO HAVE USED ARMOR-PIERCING BULLET.)"
19840896	20245	UNITED TEXAS TRANSMISSION CO	PASADENA	HARRIS	TX	     	.11	75+47	1	No	 	      	  	Null	No	LEAK	0	0	0	1635	Yes	1	25	19840815	220	336	BY CFR 192.619(a)(3)	0	1315	19840815	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	VALVE	 	STEEL	 	PIPELINE	 	1952	0	0	 	0	 	 	HANBY	1952	ABOVE GROUND	 	 					 		 		Null		OPERATOR ACTION	 	Null		Null	 	Null		 	Null			 			"F.F. BELCHER, MGR. OF GOV'T COM"	 	"1"" TAP VALVE WAS KNOCKED OFF PIPELINE BY COMPANY PERSONNEL DIGGING IN VICINITY."
19840897	13750	NORTHERN NATURAL GAS CO	BARABOO	SAUK	WI	53911	 	 	2	No	 	      	  	Null	No	OTHER	0	0	1	0	Null	0	1	19840822	720	960	BY CFR 192.619(a)(3)	0	1045	19840821	OTHER	TRANSMISSION SYSTEM	NO DATA	 	NO DATA	 	REGULATOR/METERING SYSTEM	 	1964	0	0	 	0	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null		 	Null			 			"J.P. GUINANE, GENERAL MANAGER O"	 	GAS THAT HAD BEEN VENTED TO ATMOSPHERE DURING PURGING OF REGULATOR PIPING WAS IGNITED RESULTING IN A FLASH FIRE.  THE SOURCE OF IGNITION IS BELIEVED TO HAVE BEEN A PILOT ON AN INDIRECT FIRED GAS HEATER.
19840899	19325	TEXAS UTILITIES FUEL CO	 	LIMESTONE	TX	     	BET. BV F18 & KIRK	 	1	No	 	      	  	Null	No	LEAK	0	0	0	0	Yes	1	0		430	988	BY TEST	1250	1305	19840709	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	NO DATA	 	0	12	0.25	X42	1647	 	 	 	1958	UNDER GROUND	 	 			EXTERNALLY	LOCALIZED PITTING	 	OTHER	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"J.A. SCHMULEN, SUPERVISOR REGUL"	 	
19840902	12106	"MAPCO.,INC"	BORGER	HUTCHINSON	TX	79007	 	 	3	No	 	      	  	Null	No	LEAK	0	0	0	0	Yes	0	0		7	35	NO DATA	0	1000	19840828	DAMAGE BY OUTSIDE FORCE	GATHERING SYSTEM	BODY OF PIPE	 	OTHER	PLASTIC PIPE	PIPELINE	 	0	4	0.24	PLASTIC	0	 	 	 	0	UNDER GROUND	 	 					 		 		Null		EARTH MOVEMENT: OTHER	 	Null		Yes	SIGNS ON POST	Null		 	Null			 			"WAYNE ALBRIGHT, PRODUCTION FORE"	 	LINE WAS DAMAGED BY ROCKS SETTLING ON TOP OF LINE.SOIL AND ROCK SETTLED ON LINE CAUSING PLASTIC PIPE TO BREAK.  REPLACED WITH 33'STEEL PIPE.  THIS LINE WAS NOT IN OPERATION WHEN LEAK WAS DISCOVERED WHILE WALKING LINE FOR INSPECTION.
19840906	11680	LONE STAR GAS CO	MILES	RUNNELS	TX	76861	91+75	 	1	No	 	      	  	Null	No	LEAK	0	0	0	2697	Null	6	0	19840828	400	500	BY TEST	885	1000	19840828	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1959	6	0.19	API5L-X	42000	 	 	 	0	UNDER GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	No		Yes	PAINTED POSTS	No		 	Null			 			"J.J. GARCIA, SUPERINTENDENT I"	 	LINE HIT BY AUGER DRILLING FOR FENCE POST.
19840917	11680	LONE STAR GAS CO	RICHARDSON	COLLIN	TX	     	 	796+42	1	No	 	      	  	Null	No	OTHER	0	0	0	1419	Null	2	10	19840829	470	800	BY TEST	1200	900	19840829	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	NO DATA	 	NO DATA	 	PIPELINE	 	1979	10.75	0.22	API5L-X 42	42000	 	 	 	0	UNDER GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	Yes	19840801	Yes	ON SITE AND MARKERS	No		 	Null			 			"W.W. BETTIS, SUPT. I"	 	"10"" PIPELINE WAS HIT BY BACKHOE BUCKET TEETH WHILE DIGGING OUT FOR RETAINING WALL FOR A BRIDGE BEING CONSTRUCTED.  GOUGES LEFT FROM TEETH WERE DEEP ENOUGH TO REQUIRE REPAIRING."
19840920	9010	J - W OPERATING CO	SHREVEPORT	CADDO	LA	71118	347+21 TO 0+00 FALCO	325+75	3	No	 	      	LA	Null	No	RUPTURE	1	0	0	0	Yes	0	30		500	1000	BY TEST	1490	1130	19840920	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	6.63	0.16	X-42	42000	 	 	 	0	UNDER GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	No		No	 	Null		 	Null			 			"C.F. KYLE, DISTRICT MANAGER"	 	LINE BROKEN BY OUTSIDE CONTRACTOR'S BACKHOE.
19840924	15490	PHILLIPS PIPELINE CO	 	MIDLAND	TX	     	 	 	1	No	 	      	  	Null	No	LEAK	0	0	0	5000	Null	4	0	19840730	25	390	NO DATA	0	1100	19840730	CORROSION	GATHERING SYSTEM	BODY OF PIPE	 	STEEL	 	NO DATA	 	1961	10	0.1	 	35000	 	 	 	0	UNDER GROUND	 	 			INTERNALLY	GENERAL CORROSION	 	OTHER	SOUR GAS	COATED	No	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"W.D. VARNELL, SR. PROCESS ENGIN"	 	
19840925	19325	TEXAS UTILITIES FUEL CO	 	LIMESTONE	TX	     	BVF-21	 	1	No	 	      	  	Null	Null	LEAK	0	0	0	0	Yes	1	57		380	988	NO DATA	0	1925	19840916	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	12	0.25	 	0	 	 	 	0	UNDER GROUND	 	 			EXTERNALLY	LOCALIZED PITTING	 	GALVANIC	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"BILLY G. BROWN, LEAD OPERATOR"	 	LT-16-84 & LT-17-84
19840926	19325	TEXAS UTILITIES FUEL CO	 	NANANO	TX	     	K-9 TO K-12	 	1	No	 	      	  	Null	Null	LEAK	0	0	0	0	Yes	2	25		620	1155	NO DATA	0	947	19840906	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	6	0.19	 	0	 	 	 	0	ABOVE GROUND	 	 			INTERNALLY	LOCALIZED PITTING	 	GALVANIC	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			BILLY G. BROWN-LEAD OPERATOR	 	DAMAGE WAS CAUSED BY CORROSION ON TRANSMISSION SYSTEM. LEAK CALLED IN BY FLOYD HENDERSON.
19840927	19325	TEXAS UTILITIES FUEL CO	 	HENDERSON	TX	     	JA-11 TO JA-6	 	1	No	 	      	  	Null	Null	LEAK	0	0	0	0	Yes	2	12	19840903	480	1279	NO DATA	0	1020	19840903	CONSTRUCTION/MATERIAL DEFECT	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	8	0.16	 	0	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null	MATERIAL	 	Null		NO DATA	 	0	0	"BILLY G. BROWN, LEAD OPERATOR"	 	"PIPELINE IN STRAIN WHERE LINE WAS WELDED TO NEW PIPE AT CREEK CROSSING, LEAK JUST BACK OF MOLD ON OLD PIPE."
19840931	2704	"CONSOLIDATED EDISON COMPANY, NEW YORK"	WHITE PLAINS	WESTCHESTER	NY	     	 	 	4	No	 	      	  	Null	No	OTHER	0	0	0	0	Yes	0	45	19840823	250	250	BY TEST	375	330	19840823	CONSTRUCTION/MATERIAL DEFECT	NO DATA	OTHER	PRESSURE CONTROLLER	NO DATA	 	NO DATA	 	0	0	0	 	0	 	 	ANDERSON GREENWOOD	0	NO DATA	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null	MATERIAL	"FOXBORO, MODEL 40 CONTROLLER"	Null		NO DATA	 	0	0	"HANS E. MERTENS, CHIEF GAS ENGI"	 	"TENNESSEE GAS CO, RELIEF VALVE RELEASED GAS TO ATMOSPHERE."
19840932	603	ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO)	BOSSIER CITY	BOSSIER	LA	71111	21.5	1136+	1	No	 	      	  	Null	No	LEAK	0	0	0	34220	Yes	0	55	19841022	344	450	BY CFR 192.619(a)(3)	0	1520	19841022	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	MECHANICAL JOINT	 	STEEL	 	PIPELINE	 	1929	20	0.31	 	0	 	 	 	1929	UNDER GROUND	 	 					 		 		Null		EARTH MOVEMENT: OTHER	WATER SATURATION	Null		Null	 	Null		 	Null			 			RONALD D. WALKER - CORROSION EN	 	EXTENDED RAINY WEATHER WITH EXTREMELY HEAVY RAINS CAUSED EARTH MOVEMENT IN CREEK BOTTOM ALLOWING PIPE TO PULL OUT OF MECHANICAL COUPLING.
19840936	603	ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO)	ARKADELPHIA	CLARK	AR	71923	135 + 94	7177 +	1	No	 	      	  	Null	No	RUPTURE	35	0	0	50000	Null	1	45	19840917	680	800	BY TEST	1035	1155	19840917	CONSTRUCTION/MATERIAL DEFECT	TRANSMISSION SYSTEM	WELD	"WELD, LONGITUDIAL-HEAT ZN"	STEEL	 	PIPELINE	 	1949	20	0.25	API-GRADE X-46	46000	 	 	YOUNGSTOWN	1948	UNDER GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null	MATERIAL	 	Yes	19840513	WATER	 	8	1035	"RONALD D. WALKER, CORROSION ENG"	 	"35' SECTION OF 20"" O.D. PIPE RUPTURED ADJACENT TO LONGITUDINAL SEAM ALONG HEAT-AFFECTED ZONE.  RUPTURE OCCURED ADJACENT TO LONGITUDINAL WELD SEAM BUT NOT ON WELD SEAM, APPARENTLY IN ZONE AFFECTED BY HEAT FROM LONGITUDINAL WELD."
