RPTID	YR	NAME	OPID	STADD	CITY	COUNT	ST	ZIP	HSTAD	HCITY	HCNTY	HST	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC	
19980011	1998	NEW ALBANY GAS SYSTEM	13226	PO BOX 236	NEW ALBANY	UNION	MS	38652						MS	0	0	0	96	178	0	0	0	0	0	274	0	0	0	2553	2781	0	0	0	0	0	5334	0	28	31	37	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	84	8	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	115	45	0	0	274	0	0	2523	30	0	0	0	2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2725	56	0	0	0	2781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5248	86	0	0	0	5334	1	1	0	37	0	0	0	0	0	0	0	0	0	0	10		HAROLD SMITH	6015341041	6/4/1999		
19980012	1998	"SUNSET GAS CO, TOWN OF"	18740	855 NAPOLEON AVE	SUNSET	ST. LANDRY	LA	70584						LA	0	0	0	29	0	0	0	0	0	0	29	0	0	0	597	0	0	0	0	0	0	597	0	20	9	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	29	25	0	577	16	4	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	16	4	0	0	597	4	6	0	1	0	1	0	0	0	11	0	17	0	0	4		MARION DOUCET	3186625296	6/4/1999		
19980013	1998	"AGUILAR, TOWN OF"	81	101 W. MAIN	AGUILAR	LAS ANIMAS	CO	81020						CO	0	0	0	5	0	0	0	0	0	0	5	0	0	0	280	0	0	0	0	0	0	280	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	280	0	0	0	0	0	0	0	0	3	0	0	0	3	0	3		PAULINE M TARR	7199414360	6/4/1999		
19980014	1998	SHELBY GAS ASSOCIATION	18260	910 ROOSEVELT HIGHWAY	SHELBY	TOOLE	MT	59474	PO BOX 729	SHELBY		MT	59474	MT	0	0	1	9	17	0	0	0	0	0	27	0	0	120	495	480	0	0	0	0	0	1095	0	8	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	28	0	0	622	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	17	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	17	0	0	0	1095	5	10	0	0	0	0	0	0	0	0	0	0	0	0	2.6		LARRY L. NELSON - GENERAL MANAGER	4064345575	6/4/1999		
19980015	1998	HERITAGE PROPANE	30892	10527 SPRINGHILL DRIVE	SPRING HILL	HERNANDO	FL	34608						FL	0	0	0	42	12	0	0	0	0	0	54	0	0	0	1998	981	0	0	0	0	0	2979	0	31	7	4	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	12	4	0	0	54	0	0	1997	0	0	0	0	1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	0	0	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2978	0	0	0	0	2978	1	14	0	3	1	0	0	0	0	0	0	0	0	0	1		MARY COOLE	9046834187	6/4/1999		
19980016	1998	FULTON MUNICIPAL GAS SYSTEM	5690	213 WEST WIYGUL	FULTON		MS	38843						MS	0	0	0	35	54	0	0	0	0	0	89	0	0	0	786	1151	0	0	0	0	0	1937	0	35	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	89	0	0	786	31	0	0	0	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	13	0	0	0	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893	44	0	0	0	1937	8	13	0	0	3	7	0	0	0	0	0	0	0	0	5		EDDIE HANKINS	6018629004	6/4/1999		
19980017	1998	DEMA GAS CO INC	3285	P.O. BOX 820	PRESTONSBURG	FLOYD	KY	41653						KY	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	24	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.2		JOHN ALLEN JR- OFFICE MANAGER	6068863113	6/4/1999		
19980018	1998	MOUNTAIN UTILITIES INC	12888	P.O. BOX 820	PRESTONSBURG	FLOYD	KY	41653						KY	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	445	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	6	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	6	0	0	0	445	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3.6		"JOHN ALLEN, JR."	6068866463	6/4/1999		
19980019	1998	"WALNUT GROVE GAS SYSTEM, CITY OF"	22098	108 PARK STREET	WALNUT GROVE	LEAKE	MS	39189						MS	0	0	0	42	1	0	0	0	0	0	43	0	0	0	375	85	0	0	0	0	0	460	0	17	14	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	11	0	0	43	0	0	335	40	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	40	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08		ADA CHAMBLEE - TOWN CLERK	6012532321	6/4/1999		
19980020	1998	TEXOLA GAS DEPT	25175	BOX 87	TEXOLA	BECKHAM	OK	73668						OK	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	39	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	39	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0.05		STEVE HOGG - MAYOR	4055263778	6/4/1999	8/30/1999	
19980021	1998	EASTERN NATURAL GAS CO	26358	5940 STATE ROUTE 7	KINSMAN	TRUMBULL	OH	44428						OH	54	0	11	49	109	0	0	0	0	0	223	1392	0	107	1073	3847	0	0	0	0	0	6419	0	31	71	13	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	60	2	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	131	15	0	0	225	50	0	1505	1053	14	0	0	2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3731	108	8	0	0	3847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5236	1161	22	0	0	6419	58	18	1	7	0	1	0	1	0	0	9	4	67	0	0.46		F. JOSEPH LOVE/SUPERVISOR	3307723500	6/4/1999		
19980022	1998	"SOUTH FULTON GAS DEPT, CITY OF"	18432	132 BROADWAY	SOUTH FULTON	OBION	TN	38257						TN	0	0	0	4	24	4	0	0	0	0	32	0	0	0	95	969	0	0	0	0	0	1064	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	4	3	0	0	33	75	0	92	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	3	0	0	0	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	3	0	0	0	1064	2	0	1	6	0	0	0	0	0	0	0	0	0	0	3		DAVID GLISSON	7014792242	6/4/1999		
19980023	1998	KANSAS INDUSTRIAL ENERGY SUPPPLY CO	10029	P.O. BOX 7730 K16-93	WICHITA	SEDGWICK	KS	67277						KS	0	0	0	16	0	0	0	0	0	0	16	0	0	0	4	0	0	0	0	0	0	4	0	0	9	7	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	16	20000	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		"G. LAWRENCE KELLER, JR - GENERAL MANAGER"	3165267371	6/4/1999		
19980025	1998	CITIZENS GAS UTIL DIST	2412	12519 SCOTT HIGHWAY	HELENWOOD	SCOTT	TN	37755						TN	0	0	0	56	531	0	0	0	0	0	587	0	0	0	28	8817	0	0	0	0	0	8845	0	10	15	30	1	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	142	39	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	157	69	1	0	587	300	0	28	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8807	8	1	1	0	8817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8835	8	1	1	0	8845	0	0	2	5	2	2	0	11	0	35	0	0	0	0	1		FRED BISHOP	4235694457	6/4/1999		
19980026	1998	"STEPHEN, CITY OF"	18636	424 FIFTH STREET	STEPHEN	MARSHALL	MN	56757						MN	0	0	0	9	0	0	0	0	0	0	9	0	0	0	222	48	0	0	0	0	0	270	0	8	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	9	70	0	221	1	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	1	0	0	0	270	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1.68		DARYL NELSON - CITY CLERK	2184783614	6/4/1999		
