RPTID	YR        	NAME      	OPID      	STADD     	CITY      	COUNT     	ST        	ZIP       	HSTAD     	HCITY     	HCNTY     	HST       	HZIP      	STOP      	B1M_1     	B1M_2     	B1M_3     	B1M_4     	B1M_5     	B1M_6     	B1M_7     	B1M_8     	B1M_9     	B1M_10    	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1       Integer	DIM_2       Integer	DIM_3       Integer	DIM_4       Integer	DIM_5       Integer	DIM_6       Integer	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1       Integer	DIS_2       Integer	DIS_3       Integer	DIS_4       Integer	DIS_5       Integer	DIS_6       Integer	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM1	CS1	TM1	TS1	OM1	OS1	CDM1	CDS1	MDM1	MDS1	OTHM1	OTHS1	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC
19930873	1993	ALBANY MUNICIPAL GAS CO	225	106 EAST CLAY STREET	ALBANY	GENTRY	MO	64402						MO	0	0	0	20	1	0	0	0	0	0	21	0	0	0	717	150	0	0	0	0	0	867	0	14	3	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	0	0	21	60	0	707	10	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	1	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	11	0	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		JIM COBURN	8167263935	6/3/1994	
19931330	1993	"ALEDO GAS DEPT, CITY OF"	252	120 N COLLEGE AVE BOX 267	ALEDO	MERCER	IL	61231						IL	0	0	0	30	0	0	0	0	0	0	30	0	0	0	1608	16	0	0	0	0	0	1624	0	20	10	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	30	75	0	0	0	0	0	0	0	0	1558	50	0	0	0	1608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1574	50	0	0	0	1624	0	0	1	0	0	0	0	1	0	0	0	24	0	0	0.4		JACK H ENLOE	6186561235	6/3/1994	
19931415	1993	ALEXANDER CITY MUNICIPAL GAS	261	P.O. BOX 552	ALEXANDER CITY	TALLAPOOSA	AL	35010						AL	0	0	0	54	57	8	0	0	0	0	119	141	0	20	109	3528	0	0	0	0	0	3798	0	0	8	43	3	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	8	0	0	0	0	0	0	0	0	49	8	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	18	49	3	0	119	100	0	266	3	1	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	17	1	0	0	3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3776	20	2	0	0	3798	0	21	3	26	1	1	0	0	0	0	2	19	0	0	1.6		MIKE STEWART	2053298426	6/3/1994	
19931609	1993	"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF"	270	"2021 INDUSTRIAL PARK RD., BLDG A"	ALEXANDRIA	RAPIDES	LA	71302						LA	18	1	193	123	133	13					481	3667	97	4732	3559	5892	0					17947	0	8	212	112	14	0	346						0	0						0	0			1	11	2	0	14					0		0		98	25	9	1		133					0		0					0		0					0	0	0	0	106	238	132	17	0	493	30	0	6775	0	5280			12055				0			0				0			0				0			0				0			0		5417	0	475	0		5892				0			0				0			0				0	0		0		12192	0	5755	0		17947	225	125	75	95	0	0	8	14	25	43	0	0	23	0	4.9		CLAY R. VANDERLICK	3184416038	9/14/1994	
19931382	1993	"ALGOOD GAS DEPT, CITY OF"	297	108 E. MAIN ST  P.O. BOX 49215	ALGOOD	PUTNAM	TN	38501						TN	0	0	0	14	4	0	0	0	0	0	18	0	0	0	151	170	0	0	0	0	0	321	0	8	7	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	19	0	0	147	4	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	3	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	4	3	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		DAVID DILLON - CITY MANAGER	5379545	6/3/1994	
19930845	1993	ALLERTON GAS CO	315	"120 NORTH CENTRAL, BOX 537"	ALLERTON	WAYNE	IA	50008						IA	0	0	0	6	0	0	0	0	0	0	6	0	0	0	329	0	0	0	0	0	0	329	0	4	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	6	79	0	298	31	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	31	0	0	0	329	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0		WILLIAM BUSS - PRESIDENT	5154374478	6/3/1994	
19931774	1993	ALLIANCE GAS CO	324	5620 VINEWOOD	GARLAND	DALLAS	TX	75043						TX	0	0	0	0	5						5					149						149	0	0					0		0					0		0					0		0					0		5					5		0					0		0					0		0					0		0					0		5					5	0	0						0	0						0	0						0	0	0					0		149					149		0					0		0					0		0					0		0					0		149					149	1		0		0		0		0		0		0	0	49		GERALD W. THORNE	2146861282	10/5/1994	
19930438	1993	ALL PRO GAS CO	329	5201 NW 9 AVE	FORT LAUDERDALE	BROWARD	FL	33309						FL	0	0	0	10	0	0	0	0	0	0	10	0	0	0	629	0	0	0	0	0	0	629	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	629	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	629	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5		LINDA M BLAU - SECT	3057765961	6/3/1994	
19930801	1993	"ALMA GAS DISTRIBUTION SYSTEM, CITY OF"	333	326 MISSOURI STREET	ALMA	WABAUNSEE	KS	66401						KS	0	0	0	26	1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	27	0	0	0	449	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	449	0	0	0	0	0	2	0	0	2	5	0	0	0	0	0		MAX KRAUS	9137653922	6/3/1994	
19930358	1993	"ALMA NATURAL  GAS SYSTEMS, CITY OF"	342	614 MAIN ST P.O. BOX 468	ALMA	HARLAN	NE	68920						NE	0	0	2	5	7	1	0	0	0	0	15	0	0	285	329	16	0	0	0	0	0	630	0	6	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	15	0	0	0	614	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0	630	0	2	0	0	0	0	0	1	3	1	5	0	0	0	1		RUSS PFEIL & NEIL MOLZAHN	3089282242	6/3/1994	
19930122	1993	"ALTAMONT GAS DEPT, CITY OF"	360	"P.O. BOX 305, 407 HUSTON STREET"	ALTAMONT	LABETTE	KS	67330						KS	0	0	0	3	14	3	0	0	1	0	21	0	101	0	30	344	0	0	0	25	0	500	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	1	0	0	0	0	1	0	8	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	21	50	0	118	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	25	0	337	7	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	7	0	0	0	487	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3.58	"INSTALLED 19,453' NEW PE MAINS AND SERVICES. PURGING OF NEW LINES AND FILLING WITH GAS INCREASED ""UNACCOUNTED"" FOR GAS.  CST"	C.SCOTT TRAXSON - GAS SUPERINTENDENT	3167845422	6/3/1994	
19931538	1993	ALTA VISTA GAS CO	362	521 MAIN	ALTA VISTA	WABAUNSEE	KS	66834						KS	0	0	0	29	0	0	0	0	0	0	29	0	0	0	542	0	0	0	0	0	0	542	0	7	22	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	29	20	0	534	8	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	8	0	0	0	542	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		DICK ALBIN	9134996620	6/3/1994	
19930521	1993	AMARILLO NATURAL GAS INC	383	6601 1-40 WEST #2	AMARILLO	POTTER	TX	79106						TX	0	0	0	0	4	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	2	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JERRY SIMMONS	8063525271	6/3/1994	
19930444	1993	"ALTO NATURAL GAS CO, CITY OF"	387	106 BUSY BEE STREET	ALTO	CHEROKEE	TX	75925						TX	0	0	0	73	3	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	40	18	15	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	18	15	0	0	76	30	0	0	852	0	0	0	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	38	0	0	54	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	944	0	0	0	0	0	5	0	0	0	25	0	0	1	0	0		LA VONNE MCCOMMAS	4098584224	6/3/1994	
19931459	1993	AMERICUS GAS CO INC	414	309 MAIN STREET	COTTONWOOD FALLS	CHASE	KS	66845						KS	0	0	0	9	2	0	0	0	0	0	11	0	0	0	288	103	0	0	0	0	0	391	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	11	8	0	2	286	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	286	0	0	0	391	0	0	0	1	1	1	0	0	0	0	0	8	25	0	2		WILLIAM J YEAGER	3163430637	6/3/1994	
19930512	1993	AMERICUS UTILITY COMMISSION	423	715 VALLEY DRIVE  P.O. BOX 505	AMERICUS	SUMTER	GA	31709						GA	0	0	0	84	5	0	0	0	0	0	89	0	0	0	2219	1275	0	0	0	0	0	3494	0	39	32	12	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	32	12	0	0	89	120	0	2194	16	7	2	0	2219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1274	1	0	0	0	1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3468	17	7	2	0	3494	3	15	1	0	0	0	0	1	0	1	0	105	0	0	0		HENRY BARFIELD - SUPERINTENDENT	9129246700	6/3/1994	
