RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC	
19990233	1999	"ALEDO GAS DEPT, CITY OF"	252	"120 N. COLLEGE AVE., "	ALEDO	MERCER	IL	61231						IL	0	0	0	30	1	0	0	0	0	0	31	0	0	0	1544	99	0	0	0	0	0	1643	0	20	10	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	31	75	0	1494	50	0	0	0	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	4	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589	54	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	"1997 - INSTALLED 300' OF 2"" PE MAIN  1998 - INSTALLED 1,688 OF 2"" PE MAIN  1999 - INSTALLED 400' OF 2"" PE MAIN  1999 - ABANDONED 200' OF EXISTING 3"" STEEL MAIN"	C LINDSAY ENLOE	6186561235	2/10/2000	2/15/2000	
19990853	1999	ALEXANDER CITY MUNICIPAL GAS	261	P.O. BOX 552	ALEXANDER CITY	TALLAPOOSA	AL	35011						AL	0	0	0	60	72	0	0	0	0	0	132	0	0	6	22	4190	0	0	0	0	0	4218	0	0	11	46	3	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	14	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	25	46	3	0	132	100	0	21	4	1	2	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4159	30	1	0	0	4190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4180	34	2	2	0	4218	0	2	13	13	0	0	1	1	1	0	0	2	0	0	2	AVERAGE BTU AS DISTRIBUTED 1035.3	TILLIE K GREER	2564092070	3/15/2000		
19991320	1999	"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF"	270	"2021 INDUSTRIAL PARK RD.,"	ALEXANDRIA	RAPIDES	LA	71302						LA	0	0	157	128	241	3	0	0	0	0	529	0	0	5690	2723	10172	0	0	0	0	0	18585	0	6	160	105	14	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	192	35	13	1	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	196	119	16	0	529	30	0	3308	3820	1285	0	0	8413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9580	470	122	0	0	10172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12888	4290	1407	0	0	18585	180	90	225	175	0	0	4	3	2	4	0	0	12	0	5		CLAY R. VANDERLICK	3184416038	3/31/2000		
19990400	1999	ALLERTON GAS CO	315	"120 NORTH CENTRAL,BOX 299"	ALLERTON	WAYNE	IA	50008						IA	0	0	0	6	0	0	0	0	0	0	6	0	0	0	334	0	0	0	0	0	0	334	0	4	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	6	79	0	304	30	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	30	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		WILLIAM BUSS - PRESIDENT	5154374478	2/24/2000		
19991167	1999	"ALMA GAS DISTRIBUTION SYSTEM, CITY OF"	333	326 MISSOURI STREET	ALMA	WABAUNSEE	KS	66401						KS	0	0	0	26	1	0	0	0	0	0	27	0	0	0	467	0	0	0	0	0	0	467	0	11	15	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	27	0	0	0	459	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	467	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0		MAX KRAUS	7857653922	3/22/2000		
19990566	1999	"ALMA NATURAL  GAS SYSTEMS, CITY OF"	342	614 MAIN ST P.O. BOX 468	ALMA	HARLAN	NE	68920						NE	0	0	1	4	9	0	0	0	0	0	14	0	0	240	312	48	0	0	0	0	0	600	0	4	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	14	15	0	0	552	0	0	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	600	0	0	0	1	0	0	0	0	0	4	1	4	0	0	0		RUSS PFEIL & NEIL MOLZAHN	3089282242	3/2/2000	3/2/2000	
19991168	1999	ALTA VISTA GAS CO	362	521 MAIN	ALTA VISTA	WABAUNSEE	KS	66834						KS	0	0	0	29	0	0	0	0	0	0	29	0	0	0	545	1	0	0	0	0	0	546	0	7	22	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	29	0	0	537	8	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	8	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JON R BOLINDER	7854996620	3/22/2000		
19990426	1999	"ALTAMONT GAS DEPT, CITY OF"	360	"PO BOX 305, 500 S. HUSTON"	ALTAMONT	LABETTE	KS	67330						KS	0	0	0	3	20	0	0	0	0	0	23	0	0	0	0	511	0	0	0	0	0	511	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	23	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	7	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	7	0	0	0	511	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		C.SCOTT TRAXSON - UTILITIES SUPERINTENDENT	3167845612	2/29/2000		
19990778	1999	"ALTO NATURAL GAS CO, CITY OF"	387	404 W SAN ANTONIO  BOX 44	ALTO	CHEROKEE	TX	75925						TX	0	0	0	67	11	0	0	0	0	0	78	0	0	0	718	133	0	0	0	0	0	851	0	34	18	15	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	26	15	0	0	78	0	0	0	718	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	32	0	0	0	99	0	0	33	1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	783	1	0	0	851	0	0	0	0	0	4	0	10	0	48	0	0	35	0	1		KIM BRADSHAW	4098584224	3/14/2000		
19991381	1999	AMARILLO NATURAL GAS INC	383	6601 1-40 WEST #2	AMARILLO	POTTER	TX	79106						TX	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	2	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JP DAVIS	8063525271	4/13/2000		
19991172	1999	AMERICUS GAS CO INC	414	309 MAIN STREET	COTTONWOOD FALLS	CHASE	KS	66845						KS	0	0	0	9	2	0	0	0	0	0	11	0	0	0	286	114	0	0	0	0	0	400	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	11	8	0	5	281	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	281	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1.1		WILLIAM J YEAGER	3163430637	3/22/2000		
19991448	1999	AMERICUS UTILITY COMMISSION	423	715 VALLEY DRIVE  P.O. BO	AMERICUS	SUMTER	GA	31709						GA	0	0	0	83	16	0	0	0	0	0	99	0	0	0	1985	2160	0	0	0	0	0	4145	0	38	33	12	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	12	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	35	12	0	0	99	130	0	1959	17	7	2	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4119	17	7	2	0	4145	2	10	0	0	0	0	0	0	0	0	3	6	1	0	0		HENRY BARFIELD - NATURAL GAS SERVICES DIRECTOR	9129246700	5/30/2000	7/26/2000	
19990293	1999	AMERIGAS PROPANE	30740	47 HACKNEY	COLEVILLE	MONO	CA	96107	47 HACKNEY	COLEVILLE	MONO	CA	96107	CA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	125	10	0	0	0	0	0	135	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	125	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0		RICHARD HORVATH	5304952324	2/15/2000		
19990795	1999	AMERIGAS PROPANE INC ( EX CITIZENS GAS CO )	2397	25069 E MARION AVE	PUNTA GORDA	CHARLOTTE	FL	33950				AK		FL	0	0	2	61	4	0	0	0	0	0	67	0	0	0	4744	42	0	0	0	0	0	4786	0	51	12	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	15	0	0	0	67	0	0	4733	11	0	0	0	4744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4774	12	0	0	0	4786	0	0	0	0	0	0	0	0	0	0	0	0	0	0			THOMAS E SHEILDS	9416370105	3/15/2000		
